answer_id,question_id,narrative_id,language,answer_text_original,answer_text_normalised,answer_type,updated_slot_name,updated_slot_value,answer_certainty,introduces_new_event,introduces_new_entity,introduces_contradiction,completeness_before,completeness_after,accepted_as_gold,reviewer_id
ANS000001,Q000001_en,NAR000001_EN,en,"For the false advertising and misrepresentation at Shop on 2023-01-01 around 20:41, my answer for product or service is: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV849
ANS000002,Q000002_hi,NAR000001_EN,hi,"false advertising and misrepresentation Shop par 2023-01-01 ko 20:41 ke aas-paas, product or service ke liye mera jawab hai: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV849
ANS000003,Q000003_hiLatn,NAR000001_EN,hi-Latn,"false advertising and misrepresentation Shop par 2023-01-01 ko 20:41 ke aas-paas, product or service ke liye mera answer hai: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV849
ANS000004,Q000004_en,NAR000001_EN,en,"For the false advertising and misrepresentation at Shop on 2023-01-01 around 20:41, my answer for evidence available is: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV849
ANS000005,Q000005_hi,NAR000001_EN,hi,"false advertising and misrepresentation Shop par 2023-01-01 ko 20:41 ke aas-paas, evidence available ke liye mera jawab hai: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV849
ANS000006,Q000006_hiLatn,NAR000001_EN,hi-Latn,"false advertising and misrepresentation Shop par 2023-01-01 ko 20:41 ke aas-paas, evidence available ke liye mera answer hai: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV849
ANS000007,Q000007_en,NAR000002_EN,en,"For the noise pollution grievance at Residential street on 2023-01-01 around 23:20, my answer for risk to public is: The noise continues late at night and disturbs nearby residents.",the noise continues late at night and disturbs nearby residents,text,risk_to_public,The noise continues late at night and disturbs nearby residents,approximate,False,False,False,0.60,0.84,True,REV549
ANS000008,Q000008_hi,NAR000002_EN,hi,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, risk to public ke liye mera jawab hai: The noise continues late at night and disturbs nearby residents.",the noise continues late at night and disturbs nearby residents,text,risk_to_public,The noise continues late at night and disturbs nearby residents,approximate,False,False,False,0.60,0.84,True,REV549
ANS000009,Q000009_hiLatn,NAR000002_EN,hi-Latn,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, risk to public ke liye mera answer hai: The noise continues late at night and disturbs nearby residents.",the noise continues late at night and disturbs nearby residents,text,risk_to_public,The noise continues late at night and disturbs nearby residents,approximate,False,False,False,0.60,0.84,True,REV549
ANS000010,Q000010_en,NAR000002_EN,en,"For the noise pollution grievance at Residential street on 2023-01-01 around 23:20, my answer for item or property affected is: local public area.",local public area,text,item_or_property_affected,local public area,certain,False,False,False,0.55,0.87,True,REV549
ANS000011,Q000011_hi,NAR000002_EN,hi,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, item or property affected ke liye mera jawab hai: local public area.",local public area,text,item_or_property_affected,local public area,certain,False,False,False,0.55,0.87,True,REV549
ANS000012,Q000012_hiLatn,NAR000002_EN,hi-Latn,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, item or property affected ke liye mera answer hai: local public area.",local public area,text,item_or_property_affected,local public area,certain,False,False,False,0.55,0.87,True,REV549
ANS000013,Q000013_en,NAR000002_EN,en,"For the noise pollution grievance at Residential street on 2023-01-01 around 23:20, my answer for authority to contact is: municipality.",municipality,category,authority_to_contact,municipality,certain,True,False,False,0.55,0.87,True,REV549
ANS000014,Q000014_hi,NAR000002_EN,hi,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, authority to contact ke liye mera jawab hai: municipality.",municipality,category,authority_to_contact,municipality,certain,True,False,False,0.55,0.87,True,REV549
ANS000015,Q000015_hiLatn,NAR000002_EN,hi-Latn,"noise pollution grievance Residential street par 2023-01-01 ko 23:20 ke aas-paas, authority to contact ke liye mera answer hai: municipality.",municipality,category,authority_to_contact,municipality,certain,True,False,False,0.55,0.87,True,REV549
ANS000016,Q000016_en,NAR000003_EN,en,"For the drunk driving accident at Highway on 2023-01-07 around 06:27, my answer for vehicle details is: A white car was involved, but I could not note the full number.","a white car was involved, but i could not note the full number",text,vehicle_details,"A white car was involved, but I could not note the full number",unsure,False,False,False,0.60,0.72,True,REV328
ANS000017,Q000017_hi,NAR000003_EN,hi,"drunk driving accident Highway par 2023-01-07 ko 06:27 ke aas-paas, vehicle details ke liye mera jawab hai: A white car was involved, but I could not note the full number.","a white car was involved, but i could not note the full number",text,vehicle_details,"A white car was involved, but I could not note the full number",unsure,False,False,False,0.60,0.72,True,REV328
ANS000018,Q000018_hiLatn,NAR000003_EN,hi-Latn,"drunk driving accident Highway par 2023-01-07 ko 06:27 ke aas-paas, vehicle details ke liye mera answer hai: A white car was involved, but I could not note the full number.","a white car was involved, but i could not note the full number",text,vehicle_details,"A white car was involved, but I could not note the full number",unsure,False,False,False,0.60,0.72,True,REV328
ANS000019,Q000019_en,NAR000003_EN,en,"For the drunk driving accident at Highway on 2023-01-07 around 06:27, my answer for offending vehicle left is: unsure.",unsure,boolean,offending_vehicle_left,unsure,unsure,False,False,False,0.55,0.67,True,REV328
ANS000020,Q000020_hi,NAR000003_EN,hi,"drunk driving accident Highway par 2023-01-07 ko 06:27 ke aas-paas, offending vehicle left ke liye mera jawab hai: unsure.",unsure,boolean,offending_vehicle_left,unsure,unsure,False,False,False,0.55,0.67,True,REV328
ANS000021,Q000021_hiLatn,NAR000003_EN,hi-Latn,"drunk driving accident Highway par 2023-01-07 ko 06:27 ke aas-paas, offending vehicle left ke liye mera answer hai: unsure.",unsure,boolean,offending_vehicle_left,unsure,unsure,False,False,False,0.55,0.67,True,REV328
ANS000022,Q000022_en,NAR000004_EN,en,"For the false advertising and misrepresentation at Showroom on 2023-01-11 around 07:45, my answer for product or service is: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV705
ANS000023,Q000023_hi,NAR000004_EN,hi,"false advertising and misrepresentation Showroom par 2023-01-11 ko 07:45 ke aas-paas, product or service ke liye mera jawab hai: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV705
ANS000024,Q000024_hiLatn,NAR000004_EN,hi-Latn,"false advertising and misrepresentation Showroom par 2023-01-11 ko 07:45 ke aas-paas, product or service ke liye mera answer hai: premium service package.",premium service package,text,product_or_service,premium service package,approximate,False,False,False,0.60,0.84,True,REV705
ANS000025,Q000025_en,NAR000004_EN,en,"For the false advertising and misrepresentation at Showroom on 2023-01-11 around 07:45, my answer for evidence available is: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV705
ANS000026,Q000026_hi,NAR000004_EN,hi,"false advertising and misrepresentation Showroom par 2023-01-11 ko 07:45 ke aas-paas, evidence available ke liye mera jawab hai: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV705
ANS000027,Q000027_hiLatn,NAR000004_EN,hi-Latn,"false advertising and misrepresentation Showroom par 2023-01-11 ko 07:45 ke aas-paas, evidence available ke liye mera answer hai: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV705
ANS000028,Q000028_en,NAR000005_EN,en,"For the social media hacking at Online platform on 2023-01-12 around 17:10, my answer for digital evidence is: Screenshots, suspicious link, login alert, and transaction message are available.","screenshots, suspicious link, login alert, and transaction message are available",text,digital_evidence,"Screenshots, suspicious link, login alert, and transaction message are available",certain,False,False,False,0.55,0.87,True,REV537
ANS000029,Q000029_hi,NAR000005_EN,hi,"social media hacking Online platform par 2023-01-12 ko 17:10 ke aas-paas, digital evidence ke liye mera jawab hai: Screenshots, suspicious link, login alert, and transaction message are available.","screenshots, suspicious link, login alert, and transaction message are available",text,digital_evidence,"Screenshots, suspicious link, login alert, and transaction message are available",certain,False,False,False,0.55,0.87,True,REV537
ANS000030,Q000030_hiLatn,NAR000005_EN,hi-Latn,"social media hacking Online platform par 2023-01-12 ko 17:10 ke aas-paas, digital evidence ke liye mera answer hai: Screenshots, suspicious link, login alert, and transaction message are available.","screenshots, suspicious link, login alert, and transaction message are available",text,digital_evidence,"Screenshots, suspicious link, login alert, and transaction message are available",certain,False,False,False,0.55,0.87,True,REV537
ANS000031,Q000031_en,NAR000005_EN,en,"For the social media hacking at Online platform on 2023-01-12 around 17:10, my answer for security steps taken is: I changed my password and logged out other sessions after noticing it.",i changed my password and logged out other sessions after noticing it,text,security_steps_taken,I changed my password and logged out other sessions after noticing it,certain,True,False,False,0.55,0.87,True,REV537
ANS000032,Q000032_hi,NAR000005_EN,hi,"social media hacking Online platform par 2023-01-12 ko 17:10 ke aas-paas, security steps taken ke liye mera jawab hai: I changed my password and logged out other sessions after noticing it.",i changed my password and logged out other sessions after noticing it,text,security_steps_taken,I changed my password and logged out other sessions after noticing it,certain,True,False,False,0.55,0.87,True,REV537
ANS000033,Q000033_hiLatn,NAR000005_EN,hi-Latn,"social media hacking Online platform par 2023-01-12 ko 17:10 ke aas-paas, security steps taken ke liye mera answer hai: I changed my password and logged out other sessions after noticing it.",i changed my password and logged out other sessions after noticing it,text,security_steps_taken,I changed my password and logged out other sessions after noticing it,certain,True,False,False,0.55,0.87,True,REV537
ANS000034,Q000034_en,NAR000005_EN,en,"For the social media hacking at Online platform on 2023-01-12 around 17:10, my answer for ongoing access risk is: Yes, I am not sure the attacker is fully locked out yet.","yes, i am not sure the attacker is fully locked out yet",boolean,ongoing_access_risk,"Yes, I am not sure the attacker is fully locked out yet",unsure,False,False,False,0.60,0.72,True,REV537
ANS000035,Q000035_hi,NAR000005_EN,hi,"social media hacking Online platform par 2023-01-12 ko 17:10 ke aas-paas, ongoing access risk ke liye mera jawab hai: Yes, I am not sure the attacker is fully locked out yet.","yes, i am not sure the attacker is fully locked out yet",boolean,ongoing_access_risk,"Yes, I am not sure the attacker is fully locked out yet",unsure,False,False,False,0.60,0.72,True,REV537
ANS000036,Q000036_hiLatn,NAR000005_EN,hi-Latn,"social media hacking Online platform par 2023-01-12 ko 17:10 ke aas-paas, ongoing access risk ke liye mera answer hai: Yes, I am not sure the attacker is fully locked out yet.","yes, i am not sure the attacker is fully locked out yet",boolean,ongoing_access_risk,"Yes, I am not sure the attacker is fully locked out yet",unsure,False,False,False,0.60,0.72,True,REV537
ANS000037,Q000037_en,NAR000006_EN,en,"For the safe working conditions violation at Workplace on 2023-01-16 around 21:28, my answer for employment documents is: I have some emails and employment records, but not every document.","i have some emails and employment records, but not every document",text,employment_documents,"I have some emails and employment records, but not every document",approximate,False,False,False,0.55,0.79,True,REV242
ANS000038,Q000038_hi,NAR000006_EN,hi,"safe working conditions violation Workplace par 2023-01-16 ko 21:28 ke aas-paas, employment documents ke liye mera jawab hai: I have some emails and employment records, but not every document.","i have some emails and employment records, but not every document",text,employment_documents,"I have some emails and employment records, but not every document",approximate,False,False,False,0.55,0.79,True,REV242
ANS000039,Q000039_hiLatn,NAR000006_EN,hi-Latn,"safe working conditions violation Workplace par 2023-01-16 ko 21:28 ke aas-paas, employment documents ke liye mera answer hai: I have some emails and employment records, but not every document.","i have some emails and employment records, but not every document",text,employment_documents,"I have some emails and employment records, but not every document",approximate,False,False,False,0.55,0.79,True,REV242
ANS000040,Q000040_en,NAR000006_EN,en,"For the safe working conditions violation at Workplace on 2023-01-16 around 21:28, my answer for wage or benefit amount is: The exact amount needs calculation from salary records.",the exact amount needs calculation from salary records,text,wage_or_benefit_amount,The exact amount needs calculation from salary records,approximate,False,False,False,0.55,0.79,True,REV242
ANS000041,Q000041_hi,NAR000006_EN,hi,"safe working conditions violation Workplace par 2023-01-16 ko 21:28 ke aas-paas, wage or benefit amount ke liye mera jawab hai: The exact amount needs calculation from salary records.",the exact amount needs calculation from salary records,text,wage_or_benefit_amount,The exact amount needs calculation from salary records,approximate,False,False,False,0.55,0.79,True,REV242
ANS000042,Q000042_hiLatn,NAR000006_EN,hi-Latn,"safe working conditions violation Workplace par 2023-01-16 ko 21:28 ke aas-paas, wage or benefit amount ke liye mera answer hai: The exact amount needs calculation from salary records.",the exact amount needs calculation from salary records,text,wage_or_benefit_amount,The exact amount needs calculation from salary records,approximate,False,False,False,0.55,0.79,True,REV242
ANS000043,Q000043_en,NAR000007_EN,en,"For the domestic dispute at Apartment on 2023-01-18 around 21:31, my answer for threat or attack description is: They threatened to hit me and used intimidating words.",they threatened to hit me and used intimidating words,text,threat_or_attack_description,They threatened to hit me and used intimidating words,certain,False,False,False,0.35,0.67,True,REV842
ANS000044,Q000044_hi,NAR000007_EN,hi,"domestic dispute Apartment par 2023-01-18 ko 21:31 ke aas-paas, threat or attack description ke liye mera jawab hai: They threatened to hit me and used intimidating words.",they threatened to hit me and used intimidating words,text,threat_or_attack_description,They threatened to hit me and used intimidating words,certain,False,False,False,0.35,0.67,True,REV842
ANS000045,Q000045_hiLatn,NAR000007_EN,hi-Latn,"domestic dispute Apartment par 2023-01-18 ko 21:31 ke aas-paas, threat or attack description ke liye mera answer hai: They threatened to hit me and used intimidating words.",they threatened to hit me and used intimidating words,text,threat_or_attack_description,They threatened to hit me and used intimidating words,certain,False,False,False,0.35,0.67,True,REV842
ANS000046,Q000046_en,NAR000007_EN,en,"For the domestic dispute at Apartment on 2023-01-18 around 21:31, my answer for injury details is: No visible injury, but I want to confirm if medical documentation is needed.","no visible injury, but i want to confirm if medical documentation is needed",text,injury_details,"No visible injury, but I want to confirm if medical documentation is needed",certain,False,False,False,0.35,0.67,True,REV842
ANS000047,Q000047_hi,NAR000007_EN,hi,"domestic dispute Apartment par 2023-01-18 ko 21:31 ke aas-paas, injury details ke liye mera jawab hai: No visible injury, but I want to confirm if medical documentation is needed.","no visible injury, but i want to confirm if medical documentation is needed",text,injury_details,"No visible injury, but I want to confirm if medical documentation is needed",certain,False,False,False,0.35,0.67,True,REV842
ANS000048,Q000048_hiLatn,NAR000007_EN,hi-Latn,"domestic dispute Apartment par 2023-01-18 ko 21:31 ke aas-paas, injury details ke liye mera answer hai: No visible injury, but I want to confirm if medical documentation is needed.","no visible injury, but i want to confirm if medical documentation is needed",text,injury_details,"No visible injury, but I want to confirm if medical documentation is needed",certain,False,False,False,0.35,0.67,True,REV842
ANS000049,Q000049_en,NAR000007_EN,en,"For the domestic dispute at Apartment on 2023-01-18 around 21:31, my answer for safe place available is: yes.",yes,boolean,safe_place_available,yes,certain,False,False,False,0.55,0.87,True,REV842
ANS000050,Q000050_hi,NAR000007_EN,hi,"domestic dispute Apartment par 2023-01-18 ko 21:31 ke aas-paas, safe place available ke liye mera jawab hai: yes.",yes,boolean,safe_place_available,yes,certain,False,False,False,0.55,0.87,True,REV842
ANS000051,Q000051_hiLatn,NAR000007_EN,hi-Latn,"domestic dispute Apartment par 2023-01-18 ko 21:31 ke aas-paas, safe place available ke liye mera answer hai: yes.",yes,boolean,safe_place_available,yes,certain,False,False,False,0.55,0.87,True,REV842
ANS000052,Q000052_en,NAR000007_EN,en,"For the domestic dispute at Apartment on 2023-01-18 around 21:31, my answer for medical help status is: no.",no,boolean,medical_help_status,no,certain,True,False,False,0.55,0.87,True,REV842
ANS000053,Q000053_hi,NAR000007_EN,hi,"domestic dispute Apartment par 2023-01-18 ko 21:31 ke aas-paas, medical help status ke liye mera jawab hai: no.",no,boolean,medical_help_status,no,certain,True,False,False,0.55,0.87,True,REV842
ANS000054,Q000054_hiLatn,NAR000007_EN,hi-Latn,"domestic dispute Apartment par 2023-01-18 ko 21:31 ke aas-paas, medical help status ke liye mera answer hai: no.",no,boolean,medical_help_status,no,certain,True,False,False,0.55,0.87,True,REV842
ANS000055,Q000055_en,NAR000008_EN,en,"For the tenant-landlord conflict at Shop on 2023-01-19 around 09:08, my answer for property type is: house access and family papers.",house access and family papers,text,property_type,house access and family papers,approximate,False,False,False,0.60,0.84,True,REV220
ANS000056,Q000056_hi,NAR000008_EN,hi,"tenant-landlord conflict Shop par 2023-01-19 ko 09:08 ke aas-paas, property type ke liye mera jawab hai: house access and family papers.",house access and family papers,text,property_type,house access and family papers,approximate,False,False,False,0.60,0.84,True,REV220
ANS000057,Q000057_hiLatn,NAR000008_EN,hi-Latn,"tenant-landlord conflict Shop par 2023-01-19 ko 09:08 ke aas-paas, property type ke liye mera answer hai: house access and family papers.",house access and family papers,text,property_type,house access and family papers,approximate,False,False,False,0.60,0.84,True,REV220
ANS000058,Q000058_en,NAR000008_EN,en,"For the tenant-landlord conflict at Shop on 2023-01-19 around 09:08, my answer for ownership documents is: I can show possession through receipts, photos, or property documents.","i can show possession through receipts, photos, or property documents",text,ownership_documents,"I can show possession through receipts, photos, or property documents",approximate,False,False,False,0.60,0.84,True,REV220
ANS000059,Q000059_hi,NAR000008_EN,hi,"tenant-landlord conflict Shop par 2023-01-19 ko 09:08 ke aas-paas, ownership documents ke liye mera jawab hai: I can show possession through receipts, photos, or property documents.","i can show possession through receipts, photos, or property documents",text,ownership_documents,"I can show possession through receipts, photos, or property documents",approximate,False,False,False,0.60,0.84,True,REV220
ANS000060,Q000060_hiLatn,NAR000008_EN,hi-Latn,"tenant-landlord conflict Shop par 2023-01-19 ko 09:08 ke aas-paas, ownership documents ke liye mera answer hai: I can show possession through receipts, photos, or property documents.","i can show possession through receipts, photos, or property documents",text,ownership_documents,"I can show possession through receipts, photos, or property documents",approximate,False,False,False,0.60,0.84,True,REV220
ANS000061,Q000061_en,NAR000008_EN,en,"For the tenant-landlord conflict at Shop on 2023-01-19 around 09:08, my answer for current possession is: Possession is disputed, and access is not fully clear right now.","possession is disputed, and access is not fully clear right now",text,current_possession,"Possession is disputed, and access is not fully clear right now",approximate,False,False,False,0.60,0.84,True,REV220
ANS000062,Q000062_hi,NAR000008_EN,hi,"tenant-landlord conflict Shop par 2023-01-19 ko 09:08 ke aas-paas, current possession ke liye mera jawab hai: Possession is disputed, and access is not fully clear right now.","possession is disputed, and access is not fully clear right now",text,current_possession,"Possession is disputed, and access is not fully clear right now",approximate,False,False,False,0.60,0.84,True,REV220
ANS000063,Q000063_hiLatn,NAR000008_EN,hi-Latn,"tenant-landlord conflict Shop par 2023-01-19 ko 09:08 ke aas-paas, current possession ke liye mera answer hai: Possession is disputed, and access is not fully clear right now.","possession is disputed, and access is not fully clear right now",text,current_possession,"Possession is disputed, and access is not fully clear right now",approximate,False,False,False,0.60,0.84,True,REV220
ANS000064,Q000064_en,NAR000009_EN,en,"For the overcharging and hidden fees at Restaurant on 2023-01-21 around 04:50, my answer for product or service is: extra service charges.",extra service charges,text,product_or_service,extra service charges,approximate,False,False,False,0.60,0.84,True,REV887
ANS000065,Q000065_hi,NAR000009_EN,hi,"overcharging and hidden fees Restaurant par 2023-01-21 ko 04:50 ke aas-paas, product or service ke liye mera jawab hai: extra service charges.",extra service charges,text,product_or_service,extra service charges,approximate,False,False,False,0.60,0.84,True,REV887
ANS000066,Q000066_hiLatn,NAR000009_EN,hi-Latn,"overcharging and hidden fees Restaurant par 2023-01-21 ko 04:50 ke aas-paas, product or service ke liye mera answer hai: extra service charges.",extra service charges,text,product_or_service,extra service charges,approximate,False,False,False,0.60,0.84,True,REV887
ANS000067,Q000067_en,NAR000009_EN,en,"For the overcharging and hidden fees at Restaurant on 2023-01-21 around 04:50, my answer for payment information is: Payment was made before the dispute, and I can provide the receipt or screenshot.","payment was made before the dispute, and i can provide the receipt or screenshot",text,payment_information,"Payment was made before the dispute, and I can provide the receipt or screenshot",certain,False,False,False,0.35,0.67,True,REV887
ANS000068,Q000068_hi,NAR000009_EN,hi,"overcharging and hidden fees Restaurant par 2023-01-21 ko 04:50 ke aas-paas, payment information ke liye mera jawab hai: Payment was made before the dispute, and I can provide the receipt or screenshot.","payment was made before the dispute, and i can provide the receipt or screenshot",text,payment_information,"Payment was made before the dispute, and I can provide the receipt or screenshot",certain,False,False,False,0.35,0.67,True,REV887
ANS000069,Q000069_hiLatn,NAR000009_EN,hi-Latn,"overcharging and hidden fees Restaurant par 2023-01-21 ko 04:50 ke aas-paas, payment information ke liye mera answer hai: Payment was made before the dispute, and I can provide the receipt or screenshot.","payment was made before the dispute, and i can provide the receipt or screenshot",text,payment_information,"Payment was made before the dispute, and I can provide the receipt or screenshot",certain,False,False,False,0.35,0.67,True,REV887
ANS000070,Q000070_en,NAR000009_EN,en,"For the overcharging and hidden fees at Restaurant on 2023-01-21 around 04:50, my answer for evidence available is: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV887
ANS000071,Q000071_hi,NAR000009_EN,hi,"overcharging and hidden fees Restaurant par 2023-01-21 ko 04:50 ke aas-paas, evidence available ke liye mera jawab hai: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV887
ANS000072,Q000072_hiLatn,NAR000009_EN,hi-Latn,"overcharging and hidden fees Restaurant par 2023-01-21 ko 04:50 ke aas-paas, evidence available ke liye mera answer hai: I have the payment screenshot and chat with the seller.",i have the payment screenshot and chat with the seller,text,evidence_available,I have the payment screenshot and chat with the seller,certain,False,False,False,0.55,0.87,True,REV887
ANS000073,Q000073_en,NAR000010_EN,en,"For the credit card cloning at Shop on 2023-01-22 around 09:18, my answer for institution notified is: yes.",yes,boolean,institution_notified,yes,certain,True,False,False,0.55,0.87,True,REV622
ANS000074,Q000074_hi,NAR000010_EN,hi,"credit card cloning Shop par 2023-01-22 ko 09:18 ke aas-paas, institution notified ke liye mera jawab hai: yes.",yes,boolean,institution_notified,yes,certain,True,False,False,0.55,0.87,True,REV622
ANS000075,Q000075_hiLatn,NAR000010_EN,hi-Latn,"credit card cloning Shop par 2023-01-22 ko 09:18 ke aas-paas, institution notified ke liye mera answer hai: yes.",yes,boolean,institution_notified,yes,certain,True,False,False,0.55,0.87,True,REV622
ANS000076,Q000076_en,NAR000011_EN,en,"For the online harassment & threats at Social media on 2023-01-25 around 17:56, my answer for threat or attack description is: They threatened to hit me and used intimidating words.",they threatened to hit me and used intimidating words,text,threat_or_attack_description,They threatened to hit me and used intimidating words,certain,False,False,False,0.35,0.67,True,REV751
ANS000077,Q000077_hi,NAR000011_EN,hi,"online harassment & threats Social media par 2023-01-25 ko 17:56 ke aas-paas, threat or attack description ke liye mera jawab hai: They threatened to hit me and used intimidating words.",they threatened to hit me and used intimidating words,text,threat_or_attack_description,They threatened to hit me and used intimidating words,certain,False,False,False,0.35,0.67,True,REV751
ANS000078,Q000078_hiLatn,NAR000011_EN,hi-Latn,"online harassment & threats Social media par 2023-01-25 ko 17:56 ke aas-paas, threat or attack description ke liye mera answer hai: They threatened to hit me and used intimidating words.",they threatened to hit me and used intimidating words,text,threat_or_attack_description,They threatened to hit me and used intimidating words,certain,False,False,False,0.35,0.67,True,REV751
ANS000079,Q000079_en,NAR000011_EN,en,"For the online harassment & threats at Social media on 2023-01-25 around 17:56, my answer for injury details is: No visible injury, but I want to confirm if medical documentation is needed.","no visible injury, but i want to confirm if medical documentation is needed",text,injury_details,"No visible injury, but I want to confirm if medical documentation is needed",certain,False,False,False,0.35,0.67,True,REV751
ANS000080,Q000080_hi,NAR000011_EN,hi,"online harassment & threats Social media par 2023-01-25 ko 17:56 ke aas-paas, injury details ke liye mera jawab hai: No visible injury, but I want to confirm if medical documentation is needed.","no visible injury, but i want to confirm if medical documentation is needed",text,injury_details,"No visible injury, but I want to confirm if medical documentation is needed",certain,False,False,False,0.35,0.67,True,REV751
ANS000081,Q000081_hiLatn,NAR000011_EN,hi-Latn,"online harassment & threats Social media par 2023-01-25 ko 17:56 ke aas-paas, injury details ke liye mera answer hai: No visible injury, but I want to confirm if medical documentation is needed.","no visible injury, but i want to confirm if medical documentation is needed",text,injury_details,"No visible injury, but I want to confirm if medical documentation is needed",certain,False,False,False,0.35,0.67,True,REV751
ANS000082,Q000082_en,NAR000011_EN,en,"For the online harassment & threats at Social media on 2023-01-25 around 17:56, my answer for safe place available is: yes.",yes,boolean,safe_place_available,yes,certain,False,False,False,0.55,0.87,True,REV751
ANS000083,Q000083_hi,NAR000011_EN,hi,"online harassment & threats Social media par 2023-01-25 ko 17:56 ke aas-paas, safe place available ke liye mera jawab hai: yes.",yes,boolean,safe_place_available,yes,certain,False,False,False,0.55,0.87,True,REV751
ANS000084,Q000084_hiLatn,NAR000011_EN,hi-Latn,"online harassment & threats Social media par 2023-01-25 ko 17:56 ke aas-paas, safe place available ke liye mera answer hai: yes.",yes,boolean,safe_place_available,yes,certain,False,False,False,0.55,0.87,True,REV751
ANS000085,Q000085_en,NAR000011_EN,en,"For the online harassment & threats at Social media on 2023-01-25 around 17:56, my answer for medical help status is: no.",no,boolean,medical_help_status,no,certain,True,False,False,0.55,0.87,True,REV751
ANS000086,Q000086_hi,NAR000011_EN,hi,"online harassment & threats Social media par 2023-01-25 ko 17:56 ke aas-paas, medical help status ke liye mera jawab hai: no.",no,boolean,medical_help_status,no,certain,True,False,False,0.55,0.87,True,REV751
ANS000087,Q000087_hiLatn,NAR000011_EN,hi-Latn,"online harassment & threats Social media par 2023-01-25 ko 17:56 ke aas-paas, medical help status ke liye mera answer hai: no.",no,boolean,medical_help_status,no,certain,True,False,False,0.55,0.87,True,REV751
